Plate ID,Well,Column,Ploidy,Tissue Type,Tissue,SID,Genome,Primer,CopiesPer20ul,DF,nucPer20ul,copiesPerNuc,copiesPerHapNuc,Positive_droplets,Negative_droplets,Accepted_droplets,Percentage_positives
run3_012221,F03,3,2,PS,Seedlings,Sconica_PS3_petA,Plastid,petA,14060,200,1800,1562.222222,781.1111111,6158,7525,13683,0.450047504
run3_012221,E03,3,2,PS,Seedlings,Sconica_PS3_rpoB,Plastid,rpoB,14240,200,1800,1582.222222,791.1111111,6421,7720,14141,0.454069726
run1_012221,H10,10,2,VO,Leaf,Sconica_VO1_petA,Plastid,petA,10920,200,1825,1196.712329,598.3561644,5155,8734,13889,0.371157031
run1_012221,G10,10,2,VO,Leaf,Sconica_VO1_rpoB,Plastid,rpoB,12260,200,1825,1343.561644,671.7808219,5314,7773,13087,0.406051807
run2_012221,F03,3,2,VO,Leaf,Sconica_VO2_petA,Plastid,petA,14360,200,2040,1407.843137,703.9215686,6143,7301,13444,0.456932461
run2_012221,E03,3,2,VO,Leaf,Sconica_VO2_rpoB,Plastid,rpoB,14220,200,2040,1394.117647,697.0588235,6262,7539,13801,0.453735237
run3_012221,F02,2,2,VO,Leaf,Sconica_VO3_petA,Plastid,petA,23080,200,1765,2615.29745,1307.648725,7977,4784,12761,0.62510775
run3_012221,E02,2,2,VO,Leaf,Sconica_VO3_rpoB,Plastid,rpoB,18440,200,1765,2089.518414,1044.759207,7622,6406,14028,0.543341888
run1_061721,C04,4,2,Pistil,Flower,Sconica_Pt#3_matR,Mito,matR,32820,1,2445,13.42331288,6.71165644,13239,4365,17604,0.75204499
run1_061721,C05,5,2,Pistil,Flower,Sconica_Pt#5_matR,Mito,matR,32480,1,2275,14.27692308,7.13846154,10465,3514,13979,0.748622934
run1_061721,C06,6,2,Pistil,Flower,Sconica_Pt#6_matR,Mito,matR,28700,1,2310,12.42424242,6.21212121,10268,4305,14573,0.704590681
run1_061721,D04,4,2,Pistil,Flower,Sconica_Pt#3_nad9,Mito,nad9,32580,1,2445,13.32515337,6.662576685,12233,4088,16321,0.749525152
run1_061721,D05,5,2,Pistil,Flower,Sconica_Pt#5_nad9,Mito,nad9,32200,1,2275,14.15384615,7.076923075,11752,4010,15762,0.745590661
run1_061721,D06,6,2,Pistil,Flower,Sconica_Pt#6_nad9,Mito,nad9,29820,1,2310,12.90909091,6.454545455,11345,4445,15790,0.718492717
run1_061721,F04,4,2,Pistil,Flower,Sconica_Pt#3_petA,Plastid,petA,3880,200,2445,317.3824131,158.6912066,2550,14224,16774,0.152020985
run1_061721,F05,5,2,Pistil,Flower,Sconica_Pt#5_petA,Plastid,petA,4820,200,2275,423.7362637,211.8681319,3102,13670,16772,0.184951109
run1_061721,F06,6,2,Pistil,Flower,Sconica_Pt#6_petA,Plastid,petA,4300,200,2310,372.2943723,186.1471862,2846,14205,17051,0.166911032
run1_061721,E04,4,2,Pistil,Flower,Sconica_Pt#3_rpoB,Plastid,rpoB,3720,200,2445,304.2944785,152.1472393,2407,14023,16430,0.146500304
run1_061721,E05,5,2,Pistil,Flower,Sconica_Pt#5_rpoB,Plastid,rpoB,5440,200,2275,478.2417582,239.1208791,3163,12157,15320,0.206462141
run1_061721,E06,6,2,Pistil,Flower,Sconica_Pt#6_rpoB,Plastid,rpoB,4680,200,2310,405.1948052,202.5974026,3065,13906,16971,0.180602204
